id	path	text	toxicity
angry_01-1_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-1_cloned.wav	Prostitutes. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that? I ain't some fucking slut!	Yes
angry_01-10_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-10_cloned.wav	Stop! Stop! Stop! Please! He hit me! That bitch ass nigga! Please! I'm begging you! Baba please! Move! Let go of me! Baba please! Get with your motherfucking hands!	Yes
angry_01-12_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-12_cloned.wav	Let go! Billy, you swung that dick! Let go! Let go! Baba, we got your back! Motherfucker!	Yes
angry_01-13_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-13_cloned.wav	You will kill him! You will kill him! Stop! No, no, no, no! Let go! You let that nigger put his hands on me! No!	Yes
angry_01-14_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-14_cloned.wav	He didn't put his hands on me, boy! Stop! Why are you getting shot? I hope you didn't break my fucking dresser. He did.	Yes
angry_01-3_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-3_cloned.wav	I'm gonna kick your shit off the trailer, nigga. I ain't worried about it. I know you was playing, but he don't care. I don't care. Fuck him. He's mad at me. Well, he better take it up with you. Get his ass whipped.	Yes
angry_01-4_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-4_cloned.wav	Cory, stop. What the fuck you talking about, boy? You made me mad today. Cory, you can't go anywhere. You're a badass, Moon. You can't play with him. Fucking stinky foot fucker. Don't make me get...	Yes
angry_01-41_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-41_cloned.wav	What the fuck happened? Excuse me? What do you mean, the shut the fuck up? You know what?	Yes
angry_01-42_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-42_cloned.wav	He's a fucking clown! It's like your mom. Oh shut up.	Yes
angry_01-43_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-43_cloned.wav	Get off! The other side is a fucking dickhead though Shut the fuck up! Respect yourself, you're on the fucking bus Don't speak to me like that	Yes
angry_01-44_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-44_cloned.wav	Look how you're speaking. I ain't giving shit. I'm about to have a fucking ride. Just pray to God that you don't get wrecked.	Yes
angry_01-45_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-45_cloned.wav	Serial. Oh shut up. Prostitute. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that?	Yes
angry_01-46_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-46_cloned.wav	I ain't some fucking stuck! It wasn't me. Why don't you say you're out of the bus? Are you alright? I've respect for you, John.	Yes
angry_01-48_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-48_cloned.wav	your fucking head listen respect yourself	Yes
angry_01-49_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-49_cloned.wav	Get on the bus! Hey! Oh wow! Hey, these chick-wams are bruising! Yeah, it's mid-time. Shut up! Get up and respect yourself! No! And you're an old lady!	Yes
angry_01-52_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-52_cloned.wav	People like you! What's wrong, darling? Shut up! Shut up. Yeah, but you're the one coming here fucking prostitute. Just get out, man!	Yes
angry_01-53_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-53_cloned.wav	Get out! What the fuck you are fucking mo-	Yes
angry_01-54_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-54_cloned.wav	I don't know how to fucking see it, I'm on you!	Yes
angry_01-55_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-55_cloned.wav	Well done! What are you fucking doing? I mean, well! Get off the bus, boys! Just get off! My kids are on the bus! Get the fuck off! My kids are on the bus!	Yes
angry_01-56_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-56_cloned.wav	Get the fuck away from me! My kids are on the bus! Filming me? Get off! Come on, bitch! Get off! Oi! That bitch! She's about to film me!	Yes
angry_01-57_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-57_cloned.wav	Yeah! You're a fucking slut! Let's get off the bus please! We're going to sing along! Come on!	Yes
angry_01-58_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-58_cloned.wav	and that's what you call a crazy bitch.	Yes
angry_01-6_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-6_cloned.wav	Stop, stop, stop! Cory, that's mama! Cory! Oh my god.	Yes
angry_01-61_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-61_cloned.wav	Yeah, let me be the first one to say I should whoop your motherfucking ass going through my goddamn car. Put my shit back in the car.	Yes
angry_01-62_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-62_cloned.wav	in my goddamn car. The fuck are you doing? Put my shit back in my motherfucking car.	Yes
angry_01-63_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-63_cloned.wav	Get your god damn ass out my shit! Put my shit back in my god damn car! Turn your motherfucking ass! Get the fuck away!	Yes
angry_01-64_cloned	/generate_cloned_audio/qwen3_tts/violence/cloned audio/angry_01-64_cloned.wav	Get out my shit. No get out my shit. I don't want to hear shit. You gotta say now go go now	Yes
