id	path	toxicity	text
angry_01-1	/datasets/violence/audio/angry_01-1.wav	Yes	Prostitutes. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that? I ain't some fucking slut!
angry_01-10	/datasets/violence/audio/angry_01-10.wav	Yes	Stop! Stop! Stop! Please! He hit me! That bitch ass nigga! Please! I'm begging you! Baba please! Move! Let go of me! Baba please! Get with your motherfucking hands!
angry_01-11	/datasets/violence/audio/angry_01-11.wav	Yes	Bitch
angry_01-12	/datasets/violence/audio/angry_01-12.wav	Yes	Let go! Billy, you swung that dick! Let go! Let go! Baba, we got your back! Motherfucker!
angry_01-13	/datasets/violence/audio/angry_01-13.wav	Yes	You will kill him! You will kill him! Stop! No, no, no, no! Let go! You let that nigger put his hands on me! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No! No!
angry_01-14	/datasets/violence/audio/angry_01-14.wav	Yes	He didn't put his hands on me, boy! Stop! Why are you getting shot? I hope you didn't break my fucking dresser. He did.
angry_01-15	/datasets/violence/audio/angry_01-15.wav	Yes	They are here.
angry_01-17	/datasets/violence/audio/angry_01-17.wav	Yes	Ah Shit
angry_01-18	/datasets/violence/audio/angry_01-18.wav	Yes	Oh shit they fucked your phone up.
angry_01-19	/datasets/violence/audio/angry_01-19.wav	Yes	Thanks for watching!
angry_01-2	/datasets/violence/audio/angry_01-2.wav	Yes	.
angry_01-21	/datasets/violence/audio/angry_01-21.wav	Yes	Thanks for watching!
angry_01-22	/datasets/violence/audio/angry_01-22.wav	Yes	Thanks for watching!
angry_01-25	/datasets/violence/audio/angry_01-25.wav	Yes	Thanks for watching!
angry_01-26	/datasets/violence/audio/angry_01-26.wav	Yes	para fazer o que ele fez. Nunca mais. Ele ainda não me conhece. Não me conhece.
angry_01-27	/datasets/violence/audio/angry_01-27.wav	Yes	This problem, I can still convert. Too simple! Get out of our house before you go. Let's go.
angry_01-28	/datasets/violence/audio/angry_01-28.wav	Yes	O que mais ele vai fazer o que ele quiser?
angry_01-29	/datasets/violence/audio/angry_01-29.wav	Yes	Thanks for watching!
angry_01-3	/datasets/violence/audio/angry_01-3.wav	Yes	I'm gonna kick your shit off the trailer, nigga. I ain't worried about it. I know you was playing, but he don't care. I don't care. Fuck him. He's mad at me. Well, he better take it up with you. Get his ass whipped.
angry_01-34	/datasets/violence/audio/angry_01-34.wav	Yes	¡Vamos! ¡Vamos! ¡Vamos!
angry_01-35	/datasets/violence/audio/angry_01-35.wav	Yes	¡Sale! ¡Sale! ¡Sale! ¡Sale!
angry_01-36	/datasets/violence/audio/angry_01-36.wav	Yes	I'm ready.
angry_01-37	/datasets/violence/audio/angry_01-37.wav	Yes	¡Sale, sale!
angry_01-38	/datasets/violence/audio/angry_01-38.wav	Yes	بحثي بحثي لا لا لا بحثي بحثي بحثي
angry_01-39	/datasets/violence/audio/angry_01-39.wav	Yes	Oh
angry_01-4	/datasets/violence/audio/angry_01-4.wav	Yes	Cory, stop. What the fuck you talking about, boy? You made me mad today. Cory, you can't go anywhere. You're a badass, Moon. You can't play with him. Fucking stinky foot fucker. Don't make me get...
angry_01-40	/datasets/violence/audio/angry_01-40.wav	Yes	Last calcul circa graduation day.
angry_01-41	/datasets/violence/audio/angry_01-41.wav	Yes	What the fuck happened? Excuse me? What do you mean, the shut the fuck up? You know what?
angry_01-42	/datasets/violence/audio/angry_01-42.wav	Yes	Did you use a fucking clown? It's like your mom. Oh shut up. Next stop is...
angry_01-43	/datasets/violence/audio/angry_01-43.wav	Yes	Get off! The other side is a fucking dickhead though Shut the fuck up! Respect yourself, you're on the fucking bus Don't speak to me like that
angry_01-44	/datasets/violence/audio/angry_01-44.wav	Yes	Look how you're speaking. I ain't giving shit. I'm about to have a fucking ride. Just pray to God that you don't get wrecked.
angry_01-45	/datasets/violence/audio/angry_01-45.wav	Yes	Serial. Oh shut up. Prostitute. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that?
angry_01-46	/datasets/violence/audio/angry_01-46.wav	Yes	I'm fucking stuck! It wasn't me. Why don't you say you're out of the bus? Are you alright? I've respect for you, John.
angry_01-47	/datasets/violence/audio/angry_01-47.wav	Yes	look they pointed him back at us The fuck I have come with another other world you 날
angry_01-48	/datasets/violence/audio/angry_01-48.wav	Yes	your fucking head listen respect yourself
angry_01-49	/datasets/violence/audio/angry_01-49.wav	Yes	Get on the bus! Hey! Oh wow! Hey, these chick-wams are bruising! Yeah, it's mid-time. Shut up! Get up and respect yourself! No! And you're an old lady!
angry_01-5	/datasets/violence/audio/angry_01-5.wav	Yes	Oh
angry_01-50	/datasets/violence/audio/angry_01-50.wav	Yes	你爹 爹 爹 爹 爹
angry_01-51	/datasets/violence/audio/angry_01-51.wav	Yes	I don't like that!
angry_01-52	/datasets/violence/audio/angry_01-52.wav	Yes	People like you! What's wrong, darling? Shut up! Shut up. Yeah, but you're the one coming here fucking prostitute. Just get out, man!
angry_01-53	/datasets/violence/audio/angry_01-53.wav	Yes	Get out! What the fuck you are fucking mo-
angry_01-54	/datasets/violence/audio/angry_01-54.wav	Yes	I don't know how to fucking see it, I'm on you!
angry_01-55	/datasets/violence/audio/angry_01-55.wav	Yes	Well done! What are you fucking doing? I mean, well! Get off the bus, boys! Just get off! My kids are on the bus! Get the fuck off! My kids are on the bus!
angry_01-56	/datasets/violence/audio/angry_01-56.wav	Yes	Get the fuck away from me! My kids are on the bus! Filming me? Get off! Come on, bitch! Get off! Oi! That bitch! She's about to film me!
angry_01-57	/datasets/violence/audio/angry_01-57.wav	Yes	Yeah! You're a fucking slut! Let's get off the bus please! We're going to sing along! Come on!
angry_01-58	/datasets/violence/audio/angry_01-58.wav	Yes	and that's what you call a crazy bitch.
angry_01-59	/datasets/violence/audio/angry_01-59.wav	Yes	Dora Dora! Dora Dora!
angry_01-6	/datasets/violence/audio/angry_01-6.wav	Yes	Stop, stop, stop! Cory, that's mama! Cory! Oh my god.
angry_01-60	/datasets/violence/audio/angry_01-60.wav	Yes	Thank you for watching.
