id	path	text	toxicity
angry_01-1	/datasets/violence/audio/angry_01-1.wav	Prostitutes. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that? I ain't some fucking slut!	Yes
angry_01-10	/datasets/violence/audio/angry_01-10.wav	Stop! Stop! Stop! Please! He hit me! That bitch ass nigga! Please! I'm begging you! Baba please! Move! Let go of me! Baba please! Get with your motherfucking hands!	Yes
angry_01-12	/datasets/violence/audio/angry_01-12.wav	Let go! Billy, you swung that dick! Let go! Let go! Baba, we got your back! Motherfucker!	Yes
angry_01-13	/datasets/violence/audio/angry_01-13.wav	You will kill him! You will kill him! Stop! No, no, no, no! Let go! You let that nigger put his hands on me! No!	Yes
angry_01-14	/datasets/violence/audio/angry_01-14.wav	He didn't put his hands on me, boy! Stop! Why are you getting shot? I hope you didn't break my fucking dresser. He did.	Yes
angry_01-3	/datasets/violence/audio/angry_01-3.wav	I'm gonna kick your shit off the trailer, nigga. I ain't worried about it. I know you was playing, but he don't care. I don't care. Fuck him. He's mad at me. Well, he better take it up with you. Get his ass whipped.	Yes
angry_01-4	/datasets/violence/audio/angry_01-4.wav	Cory, stop. What the fuck you talking about, boy? You made me mad today. Cory, you can't go anywhere. You're a badass, Moon. You can't play with him. Fucking stinky foot fucker. Don't make me get...	Yes
angry_01-41	/datasets/violence/audio/angry_01-41.wav	What the fuck happened? Excuse me? What do you mean, the shut the fuck up? You know what?	Yes
angry_01-42	/datasets/violence/audio/angry_01-42.wav	He's a fucking clown! It's like your mom. Oh shut up.	Yes
angry_01-43	/datasets/violence/audio/angry_01-43.wav	Get off! The other side is a fucking dickhead though Shut the fuck up! Respect yourself, you're on the fucking bus Don't speak to me like that	Yes
angry_01-44	/datasets/violence/audio/angry_01-44.wav	Look how you're speaking. I ain't giving shit. I'm about to have a fucking ride. Just pray to God that you don't get wrecked.	Yes
angry_01-45	/datasets/violence/audio/angry_01-45.wav	Serial. Oh shut up. Prostitute. Excuse me? You fucking call me a prostitute? How fucking dare you speak to me like that?	Yes
angry_01-46	/datasets/violence/audio/angry_01-46.wav	I ain't some fucking stuck! It wasn't me. Why don't you say you're out of the bus? Are you alright? I've respect for you, John.	Yes
angry_01-48	/datasets/violence/audio/angry_01-48.wav	your fucking head listen respect yourself	Yes
angry_01-49	/datasets/violence/audio/angry_01-49.wav	Get on the bus! Hey! Oh wow! Hey, these chick-wams are bruising! Yeah, it's mid-time. Shut up! Get up and respect yourself! No! And you're an old lady!	Yes
angry_01-52	/datasets/violence/audio/angry_01-52.wav	People like you! What's wrong, darling? Shut up! Shut up. Yeah, but you're the one coming here fucking prostitute. Just get out, man!	Yes
angry_01-53	/datasets/violence/audio/angry_01-53.wav	Get out! What the fuck you are fucking mo-	Yes
angry_01-54	/datasets/violence/audio/angry_01-54.wav	I don't know how to fucking see it, I'm on you!	Yes
angry_01-55	/datasets/violence/audio/angry_01-55.wav	Well done! What are you fucking doing? I mean, well! Get off the bus, boys! Just get off! My kids are on the bus! Get the fuck off! My kids are on the bus!	Yes
angry_01-56	/datasets/violence/audio/angry_01-56.wav	Get the fuck away from me! My kids are on the bus! Filming me? Get off! Come on, bitch! Get off! Oi! That bitch! She's about to film me!	Yes
angry_01-57	/datasets/violence/audio/angry_01-57.wav	Yeah! You're a fucking slut! Let's get off the bus please! We're going to sing along! Come on!	Yes
angry_01-58	/datasets/violence/audio/angry_01-58.wav	and that's what you call a crazy bitch.	Yes
angry_01-6	/datasets/violence/audio/angry_01-6.wav	Stop, stop, stop! Cory, that's mama! Cory! Oh my god.	Yes
angry_01-61	/datasets/violence/audio/angry_01-61.wav	Yeah, let me be the first one to say I should whoop your motherfucking ass going through my goddamn car. Put my shit back in the car.	Yes
angry_01-62	/datasets/violence/audio/angry_01-62.wav	in my goddamn car. The fuck are you doing? Put my shit back in my motherfucking car.	Yes
angry_01-63	/datasets/violence/audio/angry_01-63.wav	Get your god damn ass out my shit! Put my shit back in my god damn car! Turn your motherfucking ass! Get the fuck away!	Yes
angry_01-64	/datasets/violence/audio/angry_01-64.wav	Get out my shit. No get out my shit. I don't want to hear shit. You gotta say now go go now	Yes
angry_01-65	/datasets/violence/audio/angry_01-65.wav	Spanish I caught your answer I got you recorded let's go bitch let's call 911 now stealing all my parts out my car don't tell me to	Yes
angry_01-66	/datasets/violence/audio/angry_01-66.wav	Bitch you in my shit. You just raided my shit Now	Yes
angry_01-68	/datasets/violence/audio/angry_01-68.wav	Stealing my shit. Okay your husband	Yes
angry_01-7	/datasets/violence/audio/angry_01-7.wav	You hit me with a gun! You hit me with a gun! Get away! What the fuck is wrong with you? Cory! Cory don't!	Yes
angry_01-8	/datasets/violence/audio/angry_01-8.wav	Coy please! Hit me again! Oh god damn that was good. Go away! Hit me again! Go away!	Yes
angry_01-9	/datasets/violence/audio/angry_01-9.wav	Cory stop it! Here it goes! Bubba stop! Why would you do that? Damn pill! Stop! Fuck you!	Yes
angry_02-12	/datasets/violence/audio/angry_02-12.wav	Should I go jump him? Nah. This nigga is lit. Oh wait chill chill chill. Chill let me watch this shit.	Yes
angry_02-13	/datasets/violence/audio/angry_02-13.wav	You could get away if you leave, bruh. Beast! Beast! Beast!	Yes
angry_02-2	/datasets/violence/audio/angry_02-2.wav	It's called legal. Yeah, put your seatbelt on. Put your fucking mouth shut!	Yes
